EQUIPO (TIPO / MARCA / MODELO),DESCRIPCIÓN DEL FILTRO,NRO. DE PARTE (REFERENCIA)
AMBULANCIA FORD F-350 4X2,FILTRO DE ACEITE,FL-820S
,FILTRO DE AIRE,FA-1883
,FILTRO DE COMBUSTIBLE,ITF009
,PILA DE GASOLINA,4X4U-9350-AA
AUTOBUS YUTONG ZK6896HGA,FILTRO DE ACEITE DE MOTOR,ELEMENTO APRO AL7037
,TRAMPA DE AGUA,ELEMENTO MHW 34039
,FILTRO DE GASOIL PRIMARIO,APRO FF5612
,FILTRO DE GASOIL SECUNDARIO,APRO AF3352
,FILTRO DE AIRE PRIMARIO,AF26549
,FILTRO DE AIRE SECUNDARIO,AF26550
,FILTRO DE AIRE SECANTE,HIGHFIL T250W
CAMION CON BRAZO 6 TON SINOTRUK ZZ1168K541NC1,FILTRO DE ACEITE (x2),ML28240 / AL7299
,,
,,
,,
